က,k
ကဆုန်လ,kəsʰoʊɴl
ကဆွဲ့ကနွဲ့,kəsʰəwɛkənəwɛ
ကဇာတ်,kəzaaʔ
ကည,kəɲ
ကညင်,kəɲɪɴ
ကညင်ဆီ,kəɲɪɴsʰi
ကညင်ဆီတိုင်,kəɲɪɴsʰitaɪɴ
ကညင်တိုင်,kəɲɪɴtaɪɴ
ကညင်နီ,kəɲɪɴni
ကညင်ပင်,kəɲɪɴpɪɴ
ကညင်ပျံ,kəɲɪɴpəjaɴ
ကညင်ဖြူ,kəɲɪɴpʰəju
ကညစ်,kəɲɪʔ
ကညစ်သွား,kəɲɪʔθəwa
ကညှပ်,kəɲ̥aʔ
ကညှာမြှေး,kəɲ̥aməjှe
ကညာ,kəɲa
ကညာစစ်သည်,kəɲasɪʔθi
ကညွတ်,kəɲʊʔ
ကညွတ်ပင်,kəɲʊʔpɪɴ
ကဏန်း,kənaɴ
ကဏန်းမြင်း,kənaɴməjɪɴ
ကဏန်းလက်မ,kənaɴləkɛʔm
ကဏ္ဌကောစလုပ်,kənə္tʰəkɔsəloʊʔ
ကဏ္ဍ,kənə္d
ကဏ္ဍကမြင်းတော်,kənə္dəkəməjɪɴtaʊʔ
ကဏ္ဍဇာ,kənə္dəza
ကဏ္ဍဌာန်,kənə္dətʰaaɴ
ကဏ္ဍသုခ,kənə္dəθukʰ
ကဏ္ဏမူ,kənə္nəmu
ကဏ္ဏသုခ,kənə္nəθukʰ
ကဏ်,kənɛʔ
ကတင်,kətɪɴ
ကတညုတတရား,kətəɲutətəja
ကတည်းက,kətik
ကတတ်,kətaʔ
ကတတ်ငန်းပင်,kətaʔŋaɴpɪɴ
ကတန်းကရမ်,kətaɴkəjaɴ
ကတမ်းကရမ်း,kətaɴkəjaɴ
ကတရီ,kətəji
ကတရီခပ်,kətəjikʰaʔ
ကတိ,kəti
ကတိကဝတ်,kətikəwaʔ
ကတိခံ,kətikʰaɴ
ကတိခံထားသော,kətikʰaɴtʰaθɔ
ကတိခံဝန်ချုပ်,kətikʰaɴwaɴt͡ɕʰoʊʔ
ကတိစာချုပ်,kətisat͡ɕʰoʊʔ
ကတိစောင့်,kətisaʊɴ
ကတိတည်,kətiti
ကတိတည်သည်,kətitiθi
ကတိထား,kətitʰa
ကတိထားသည်,kətitʰaθi
ကတိပျက်,kətipəjkɛʔ
ကတိပျက်သည်,kətipəjkɛʔθi
ကတိပြုသည်,kətipəjuθi
ကတိပေးသည်,kətipeθi
ကတိဖျက်သည်,kətipʰəjkɛʔθi
ကတိမှန်,kətim̥aɴ
ကတိမ်းကပါး,kəteɪɴkəpəါး
ကတိမ်းကပါးဖြစ်သည်,kəteɪɴkəpəါးpʰəjɪʔθi
ကတိမ်းကယိမ်း,kəteɪɴkəjeɪɴ
ကတိဝန်ခံချက်,kətiwaɴkʰaɴt͡ɕʰəkɛʔ
ကတိသစ္စာပြုသည်,kətiθəsə္sapəjuθi
ကတို့,kəto
ကတိုး,kəto
ကတိုးကောင်,kətokaʊɴ
ကတိုက်,kətokɛʔ
ကတိုက်ကတွန်း,kətokɛʔkətʊɴ
ကတိုက်ကရိုက်,kətokɛʔkəjokɛʔ
ကတုံး,kətoʊɴ
ကတုံးဆံတောက်,kətoʊɴsʰaɴtɔkɛʔ
ကတုံကနက်ပင်,kətoʊɴkənəkɛʔpɪɴ
ကတုတ်,kətoʊʔ
ကတုတ်ကျင်း,kətoʊʔt͡ɕɪɴ
ကတုတ်ရင်တား,kətoʊʔjɪɴta
ကတုတ်လှန်,kətoʊʔɬaɴ
ကတုန်,kətoʊɴ
ကတုန်းကတိုက်,kətoʊɴkətokɛʔ
ကတုန်းကတိုက်လုပ်သည်,kətoʊɴkətokɛʔloʊʔθi
ကတုန်ကယင်,kətoʊɴkəjɪɴ
ကတုန်ကရင်သွား,kətoʊɴkəjɪɴθəwa
ကတူ,kətu
ကတော့,kətɔ
ကတော့ပုံ,kətɔpoʊɴ
ကတောကမျော,kətɔkəməjɔ
ကတောက်,kətɔkɛʔ
ကတောက်ကဆတ်,kətɔkɛʔkəsʰaʔ
ကတောက်ကတက်,kətɔkɛʔkətəkɛʔ
ကတောက်စပ်ပင်,kətɔkɛʔsaʔpɪɴ
ကတောက်ပင်,kətɔkɛʔpɪɴ
ကတောင်,kətaʊɴ
ကတောင်ကတင်,kətaʊɴkətɪɴ
ကတောင်ချောက်ချား,kətaʊɴt͡ɕʰɔkɛʔt͡ɕʰa
ကတော်,kətaʊʔ
ကတ္တခြား,kətə္tət͡ɕʰa
ကတ္တရသင်္ချေပင်,kətə္təjəθɪɴ္t͡ɕʰepɪɴ
ကတ္တရာစေး,kətə္təjase
ကတ္တရာဆီ,kətə္təjasʰi
ကတ္တရာပင်,kətə္təjapɪɴ
ကတ္တရာသင်္ချေ,kətə္təjaθɪɴ္t͡ɕʰe
ကတ္တရီပင်,kətə္təjipɪɴ
ကတ္တဝါ,kətə္təwəါ
ကတ္တဝါငှက်,kətə္təwəါŋ̥əkɛʔ
ကတ္တာ,kətə္ta
ကတ္တား,kətə္ta
