က,k
ဘဝင်ဖြစ်,bəwɪɴpʰəjɪʔ
ဘဝင်မခြား,bəwɪɴmət͡ɕʰa
ဘဝင်မြင့်သည်,bəwɪɴməjɪɴθi
ဘဝင်ြပတ်,bəwɪɴjpaʔ
ဘဝင်လှုပ်,bəwɪɴɬoʊʔ
ဘဝတစ်ပါးပြောင်းသည်,bəwətɪʔpəါးpəjaʊɴθi
ဘဝတဏှာ,bəwətənəှa
ဘဝတုံးသည်,bəwətoʊɴθi
ဘဝတူ,bəwətu
ဘဝနာသည်,bəwənaθi
ဘဝပြောင်း,bəwəpəjaʊɴ
ဘဝပြောင်းသည်,bəwəpəjaʊɴθi
ဘဝဖြစ်စဉ်,bəwəpʰəjɪʔsɪɴ
ဘဝမေ့သည်,bəwəmeθi
ဘဝရှင်,bəwəʃɪɴ
ဘဝသစ်,bəwəθɪʔ
ဘဝဟောင်း,bəwəhaʊɴ
ဘဝဲ,bəwɛ
ဘသားချော,bəθat͡ɕʰɔ
ဘဟာ,bəha
ဘာ,ba
ဘား,ba
ဘားကျွမ်း,bat͡ɕʊɴ
ဘားတန်း,bataɴ
ဘာ၀,ba၀
ဘာဂျာ,bad͡ʑa
ဘာဂျာတံခါး,bad͡ʑataɴkʰəါး
ဘာဂီ,baɡi
ဘာတာစနစ်,batasənɪʔ
ဘာဘူ,babu
ဘာဘူစောင်,babusaʊɴ
ဘာမထီ,bamətʰi
ဘာလီ,bali
ဘာလီရည်,baliji
ဘာဝ,baw
ဘာဝနာ,bawəna
ဘာဝနာပွားသည်,bawənapəwaθi
ဘာဝရုပ်,bawəjoʊʔ
ဘာသာ,baθa
ဘာသာကိုးကွယ်,baθakokəwɛ
ဘာသာခြား,baθat͡ɕʰa
ဘာသာစကား,baθasəka
ဘာသာတရား,baθatəja
ဘာသာထုံးစံ,baθatʰoʊɴsaɴ
ဘာသာဓလေ့,baθadəle
ဘာသာပြန်သည်,baθapəjaɴθi
ဘာသာပြား,baθapəja
ဘာသာဗေဒ,baθabed
ဘာသာဘာဝ,baθabaw
ဘာသာရပ်,baθajaʔ
ဘာသာလဝါ,baθaləwəါ
ဘာသာသွင်း,baθaθəwɪɴ
ဘာသာအလိုက်,baθaʔəlokɛʔ
ဘာသိဘာသာ,baθibaθa
ဘာသီးဘာသာ,baθibaθa
ဘိ,bi
ဘိကျပ်,bit͡ɕaʔ
ဘိက္ခနီ,bikə္kʰəni
ဘိက္ခု,bikə္kʰu
ဘိစတိတ်,bisəteɪʔ
ဘိတ်,beɪʔ
ဘိတ်ဆုံးကျ,beɪʔsʰoʊɴt͡ɕ
ဘိထောင်,bitʰaʊɴ
ဘိန္ဒော,binə္dɔ
ဘိန္ဒောကျမ်း,binə္dɔt͡ɕaɴ
ဘိန္ဒောဆရာ,binə္dɔsʰəja
ဘိန်း,beɪɴ
ဘိန်းချသည်,beɪɴt͡ɕʰəθi
ဘိန်းချေး,beɪɴt͡ɕʰe
ဘိန်းစား,beɪɴsa
ဘိန်းစိမ်း,beɪɴseɪɴ
ဘိန်းစေ့,beɪɴse
ဘိန်းစေး,beɪɴse
ဘိန်းစွဲ,beɪɴsəwɛ
ဘိန်းစွဲသည်,beɪɴsəwɛθi
ဘိန်းဆိုင်,beɪɴsʰaɪɴ
ဘိန်းဆီ,beɪɴsʰi
ဘိန်းနွဲ,beɪɴnəwɛ
ဘိန်းပင်,beɪɴpɪɴ
ဘိန်းပြောင်း,beɪɴpəjaʊɴ
ဘိန်းဖြတ်,beɪɴpʰəjaʔ
ဘိန်းဖြူ,beɪɴpʰəju
ဘိန်းဘင်း,beɪɴbɪɴ
ဘိန်းမုန့်,beɪɴmoʊɴ
ဘိန်းရှူ,beɪɴʃu
ဘိန်းရောင်း,beɪɴjaʊɴ
ဘိန်းဝမ်းလိုက်,beɪɴwaɴlokɛʔ
ဘိန်းအကပ်အသပ်,beɪɴʔəkaʔʔəθaʔ
ဘိမ,bim
ဘိလစ်,bilɪʔ
ဘိလပ်,bilaʔ
ဘိလပ်မြေ,bilaʔməje
ဘိလပ်ရည်,bilaʔji
ဘိလပ်ရေ,bilaʔje
ဘိလိယက်,bilijəkɛʔ
ဘိလိယက်ခုံ,bilijəkɛʔkʰoʊɴ
ဘိသိက်,biθikɛʔ
ဘိသိက်ဆက်,biθikɛʔsʰəkɛʔ
ဘိသိက်ပန်း,biθikɛʔpaɴ
ဘိသိက်ပေး,biθikɛʔpe
ဘိသိက်မြှောက်,biθikɛʔməjှɔkɛʔ
ဘိသိက်မြှောက်သည်,biθikɛʔməjှɔkɛʔθi
ဘိသိက်သွန်း,biθikɛʔθʊɴ
ဘို့,bo
ဘိုး,bo
ဘိုးစဉ်ဘောင်ဆက်,bosɪɴbaʊɴsʰəkɛʔ
ဘိုးတံ,botaɴ
ဘိုးဘပိုင်ပစ္စည်း,bobəpaɪɴpəsə္si
ဘိုးဘိုး,bobo
ဘိုးဘွား,bobəwa
ဘိုးမင်းအို,bomɪɴʔo
ဘိုးသူတော်,boθutaʊʔ
ဘိုးအေ,boʔe
ဘိုင်,baɪɴ
ဘိုင်ကျ,baɪɴt͡ɕ
ဘိုင်ကျသည်,baɪɴt͡ɕəθi
ဘိုင်ကောင်,baɪɴkaʊɴ
ဘိုင်စကယ်,baɪɴsəkɛ
ဘိုင်စကုပ်,baɪɴsəkoʊʔ
ဘိုင်နင်း,baɪɴnɪɴ
ဘိုင်ပင်,baɪɴpɪɴ
ဘိုင်သား,baɪɴθa
ဘီ,bi
ဘီး,bi
ဘီးကျော်ပတ်,bit͡ɕaʊʔpaʔ
ဘီးကျဲ,bit͡ɕɛ
ဘီးကုပ်,bikoʊʔ
ဘီးချပ်,bit͡ɕʰaʔ
ဘီးခွန်,bikʰʊɴ
ဘီးစိပ်,biseɪʔ
ဘီးဆံပတ်,bisʰaɴpaʔ
ဘီးတောင်ချပ်,bitaʊɴt͡ɕʰaʔ
ဘီးတောင်ပို,bitaʊɴpo
ဘီးတောင်ပိုငှက်,bitaʊɴpoŋ̥əkɛʔ
ဘီးပတ်ကြိုး,bipaʔt͡ɕo
ဘီးဖနောင့်,bipʰənaʊɴ
ဘီးဖို,bipʰo
ဘီးမ,bim
ဘီးလုံး,biloʊɴ
ဘီးလွှားကျ,biləwှat͡ɕ
ဘီကျားငှက်,bit͡ɕaŋ̥əkɛʔ
ဘီစကွတ်,bisəkʊʔ
ဘီစကွတ်မုန့်,bisəkʊʔmoʊɴ
ဘီစီ,bisi
ဘီစီဂျီ,bisid͡ʑi
ဘီတင်,bitɪɴ
ဘီတို,bito
ဘီဒီ,bidi
ဘီယာ,bija
ဘီလုံး,biloʊɴ
ဘီလုံးငှက်,biloʊɴŋ̥əkɛʔ
ဘီလူး,bilu
ဘီလူးကြိမ်းကြိမ်းသည်,bilut͡ɕeɪɴt͡ɕeɪɴθi
ဘီလူးကြီး,bilut͡ɕi
ဘီလူးစီး,bilusi
ဘီလူးစီးသည်,bilusiθi
ဘီလူးတံတွေး,bilutaɴtəwe
ဘီလူးတောင်ဝှေး,bilutaʊɴʍe
ဘီလူးမ,bilum
ဘီလူးမရက်ကန်းကြိုး,biluməjəkɛʔkaɴt͡ɕo
ဘီလူးလက်ဝါး,biluləkɛʔwəါး
ဘု,bu
ဘုံ,boʊɴ
ဘုံကထိန်,boʊɴkətʰeɪɴ
ဘုံကျောင်း,boʊɴt͡ɕaʊɴ
ဘုံကျွန်,boʊɴt͡ɕʊɴ
ဘုံငွေ,boʊɴŋəwe
ဘုံစနစ်,boʊɴsənɪʔ
ဘုံဆခွဲကိန်း,boʊɴsʰəkʰəwɛkeɪɴ
ဘုံဆတိုးကိန်း,boʊɴsʰətokeɪɴ
ဘုံဆိုင်,boʊɴsʰaɪɴ
ဘုံဈေး,boʊɴze
ဘုံပစ္စည်း,boʊɴpəsə္si
ဘုံပြတ်,boʊɴpəjaʔ
ဘုံပိုင်,boʊɴpaɪɴ
ဘုံမတီးငှက်,boʊɴmətiŋ̥əkɛʔ
ဘုံရိပ်သာ,boʊɴjeɪʔθa
ဘုံလျှို,boʊɴləjှo
ဘုံလျှိူ,boʊɴləjှiu
ဘုံဝါဒ,boʊɴwəါd
ဘုံသုဉ်းကိန်း,boʊɴθuɪɴkeɪɴ
ဘုံအိမ်,boʊɴʔeɪɴ
ဘုကျ,but͡ɕ
ဘုကျသည်,but͡ɕəθi
ဘုကြည့်ကြည့်သည်,but͡ɕit͡ɕiθi
ဘုဇပတ်ပင်,buzəpaʔpɪɴ
ဘုဉ်း,buɪɴ
ဘုဉ်းပေး,buɪɴpe
ဘုတ်,boʊʔ
ဘုတ်ကိုင်,boʊʔkaɪɴ
ဘုတ်ငှက်,boʊʔŋ̥əkɛʔ
ဘုတ်ဆုံ,boʊʔsʰoʊɴ
ဘုတ်ထိုင်း,boʊʔtʰaɪɴ
ဘုတ်ပွ,boʊʔpəw
ဘုတ်မွေးရောင်,boʊʔməwejaʊɴ
ဘုတ်အဖွဲ့,boʊʔʔəpʰəwɛ
ဘုတ်အုပ်,boʊʔʔoʊʔ
ဘုန်း,boʊɴ
ဘုန်းကံ,boʊɴkaɴ
ဘုန်းကျက်သရေ,boʊɴt͡ɕəkɛʔθəje
ဘုန်းကြီး,boʊɴt͡ɕi
ဘုန်းကြီးကျောင်း,boʊɴt͡ɕit͡ɕaʊɴ
ဘုန်းကြီးပျံ,boʊɴt͡ɕipəjaɴ
ဘုန်းကြီးပြန်,boʊɴt͡ɕipəjaɴ
ဘုန်းကြီးဝတ်သည်,boʊɴt͡ɕiwaʔθi
ဘုန်းကြီးသည်,boʊɴt͡ɕiθi
ဘုန်းတန်,boʊɴtaɴ
ဘုန်းတန်ခိုး,boʊɴtaɴkʰo
ဘုန်းတော်ခြောက်ပါး,boʊɴtaʊʔt͡ɕʰɔkɛʔpəါး
ဘုန်းတော်ဘွဲ့,boʊɴtaʊʔbəwɛ
ဘုန်းပေး,boʊɴpe
ဘုန်းလက်ရုံး,boʊɴləkɛʔjoʊɴ
ဘုန်းသမ္ဘာ,boʊɴθəmə္ba
ဘုပြောသည်,bupəjɔθi
ဘုမသိဘမသိ,buməθibəməθi
ဘုမ္မစိုး,bumə္məso
ဘုမ္မစိုးနတ်,bumə္məsonaʔ
ဘုမ္မတီး,bumə္məti
ဘုမ္မရာဇာ,bumə္məjaza
ဘုမ္မိနက်သန်,bumə္minəkɛʔθaɴ
ဘုမ္မိရတ်,bumə္mijaʔ
ဘုမ္မိရတ်လိုက်,bumə္mijaʔlokɛʔ
ဘုမ်,boʊɴ
ဘုရင်,bujɪɴ
ဘုရင်ခံ,bujɪɴkʰaɴ
ဘုရင်ခံချူပ်,bujɪɴkʰaɴt͡ɕʰuaʔ
ဘုရင်ခံမင်းကြီး,bujɪɴkʰaɴmɪɴt͡ɕi
ဘုရင်မ,bujɪɴm
ဘုရား,buja
ဘုရားကျွန်,bujat͡ɕʊɴ
ဘုရားကျွန်တော်,bujat͡ɕʊɴtaʊʔ
ဘုရားကိုးဆူ,bujakosʰu
ဘုရားကု,bujaku
ဘုရားငယ်,bujaŋɛ
ဘုရားစင်,bujasɪɴ
ဘုရားစူး,bujasu
ဘုရားဆုပန်,bujasʰupaɴ
ဘုရားဉာဏ်တော်,bujaɲanɛʔtaʊʔ
ဘုရားတင်သည်,bujatɪɴθi
ဘုရားတည်,bujati
ဘုရားတပည့်တော်,bujatəpitaʊʔ
ဘုရားထူး,bujatʰu
ဘုရားပြ,bujapəj
ဘုရားပွင့်,bujapəwɪɴ
ဘုရားပွဲတော်,bujapəwɛtaʊʔ
ဘုရားဖူး,bujapʰu
ဘုရားရှင်,bujaʃɪɴ
ဘုရားရှိခိုး,bujaʃikʰo
ဘုရားလူကြီး,bujalut͡ɕi
ဘုရားလောင်း,bujalaʊɴ
ဘုရားသခင်,bujaθəkʰɪɴ
ဘုရားသစ္စာပြု,bujaθəsə္sapəju
ဘုရားအသည်,bujaʔəθi
ဘုလုံး,buloʊɴ
ဘူ,bu
ဘူး,bu
ဘူးကွယ်သည်,bukəwɛθi
ဘူးခံ,bukʰaɴ
ဘူးခံသည်,bukʰaɴθi
ဘူးခါး,bukʰəါး
ဘူးခါးပင်,bukʰəါးpɪɴ
ဘူးစင်,busɪɴ
ဘူးဆင်စွယ်,busʰɪɴsəwɛ
ဘူးဆို့,busʰo
ဘူးတင်းရောင်း,butɪɴjaʊɴ
ဘူးတား,buta
ဘူးတောင်း,butaʊɴ
ဘူးဒယောင်းပင်,budəjaʊɴpɪɴ
ဘူးနွယ်,bunəwɛ
ဘူးပင်,bupɪɴ
ဘူးမျှော,buməjှɔ
ဘူးရစ်,bujɪʔ
ဘူးလည်သီးခတ်ချည်,buliθikʰaʔt͡ɕʰi
ဘူးလုံးနားမထွင်း,buloʊɴnamətʰəwɪɴ
ဘူးဝ,buw
ဘူးသပိတ်ပင်,buθəpeɪʔpɪɴ
ဘူးသီးကြော်,buθit͡ɕaʊʔ
ဘူကျ,but͡ɕ
ဘူဇွာ,buzəwa
ဘူတဂံ,butəɡaɴ
ဘူတရပ်,butəjaʔ
ဘူတာရုံ,butajoʊɴ
ဘူဒိုဇာ,budoza
ဘူဒီနာ,budina
ဘူပိတ်,bupeɪʔ
ဘူမိနက်သန်,buminəkɛʔθaɴ
ဘူမိဗေဒ,bumibed
ဘူရှီဒို,buʃido
ဘူရိဒတ်ဇာတ်,bujidaʔzaaʔ
ဘေ,be
ဘေး,be
ဘေးကင်းရန်ကင်း,bekɪɴjaɴkɪɴ
ဘေးကျပ်နံကျပ်,bet͡ɕaʔnaɴt͡ɕaʔ
ဘေးကာ,beka
ဘေးချင်းတိုက်,bet͡ɕʰɪɴtokɛʔ
ဘေးချင်းတိုက်သည်,bet͡ɕʰɪɴtokɛʔθi
ဘေးချိတ်ထား,bet͡ɕʰeɪʔtʰa
ဘေးချိတ်ထားသည်,bet͡ɕʰeɪʔtʰaθi
ဘေးစောင်း,besaʊɴ
ဘေးဆိုး,besʰo
ဘေးဆီးရန်ကာ,besʰijaɴka
ဘေးတိုက်,betokɛʔ
ဘေးတီးသည်,betiθi
ဘေးတွေ့,betəwe
ဘေးတွေ့သည်,betəweθi
ဘေးတွဲ,betəwɛ
ဘေးထိ,betʰi
ဘေးထိုးရင်ကျင်နာ,betʰojɪɴt͡ɕɪɴna
ဘေးထိုးရင်ကျပ်,betʰojɪɴt͡ɕaʔ
ဘေးထွက်ပစ္စည်း,betʰəwkɛʔpəsə္si
ဘေးဒဏ်,bedənɛʔ
ဘေးပန်း,bepaɴ
ဘေးပေါက်,bepeါkɛʔ
ဘေးဖယ်သည်,bepʰɛθi
ဘေးဘျမ်း,bebəjaɴ
ဘေးမ,bem
ဘေးမဲ့ပေး,bemɛpe
ဘေးမဲ့ပေးသည်,bemɛpeθi
ဘေးမဲ့လွှတ်,bemɛləwှaʔ
ဘေးရန်,bejaɴ
ဘေးလူ,belu
ဘေးသင့်ချက်,beθɪɴt͡ɕʰəkɛʔ
ဘေးသင့်သည်,beθɪɴθi
ဘေးအန္တရာယ်,beʔənə္təjaɛ
ဘေးဥပဒ်,beʔupədɛʔ
ဘေထုပ်,betʰoʊʔ
ဘော,bɔ
ဘော့,bɔ
ဘော့ဝါး,bɔwəါး
ဘောက်,bɔkɛʔ
ဘောက်ကျ,bɔkɛʔt͡ɕ
ဘောက်ကျသည်,bɔkɛʔt͡ɕəθi
ဘောက်ကား,bɔkɛʔka
ဘောက်ခနဲ,bɔkɛʔkʰənɛ
ဘောက်ချာ,bɔkɛʔt͡ɕʰa
ဘောက်ဆတ်ဆတ်,bɔkɛʔsʰaʔsʰaʔ
ဘောက်တူ,bɔkɛʔtu
ဘောက်တူလှေ,bɔkɛʔtuɬe
ဘောက်ဘက်ခတ်,bɔkɛʔbəkɛʔkʰaʔ
ဘောက်ဘတ်ခတ်သည်,bɔkɛʔbaʔkʰaʔθi
ဘောက်သည်,bɔkɛʔθi
ဘောက်သည်ခံ,bɔkɛʔθikʰaɴ
ဘောက်သည်ချ၍ရောင်း,bɔkɛʔθit͡ɕʰə၍jaʊɴ
ဘောက်သည်ယူ,bɔkɛʔθiju
ဘောက်အဖွဲ့,bɔkɛʔʔəpʰəwɛ
ဘောကွင်း,bɔkəwɪɴ
ဘောဂ,bɔɡ
ဘောဂဗေဒ,bɔɡəbed
ဘောင်,baʊɴ
ဘောင်း,baʊɴ
ဘောင်းဘီ,baʊɴbi
ဘောင်ကိုက်သည်,baʊɴkokɛʔθi
ဘောင်ခတ်,baʊɴkʰaʔ
ဘောင်ခတ်သည်,baʊɴkʰaʔθi
ဘောင်တော်ဦးထိုး,baʊɴtaʊʔʔuးtʰo
ဘောင်ပျံ,baʊɴpəjaɴ
ဘောင်ပျံဆံထိုး,baʊɴpəjaɴsʰaɴtʰo
ဘောင်ဖွဲ့,baʊɴpʰəwɛ
ဘောင်ဘင်ခတ်,baʊɴbɪɴkʰaʔ
ဘောင်ဘင်ခတ်သည်,baʊɴbɪɴkʰaʔθi
ဘောင်ဘင်ဝေ,baʊɴbɪɴwe
ဘောင်ဘင်ဝေသည်,baʊɴbɪɴweθi
ဘောင်ဝင်,baʊɴwɪɴ
ဘောင်ဝင်သည်,baʊɴwɪɴθi
ဘောင်ဝင်အောင်လုပ်သည်,baʊɴwɪɴʔaʊɴloʊʔθi
ဘောင်သွင်း,baʊɴθəwɪɴ
ဘောင်သွင်းသည်,baʊɴθəwɪɴθi
ဘောစကိုင်း,bɔsəkaɪɴ
ဘောစကိုင်းပင်,bɔsəkaɪɴpɪɴ
ဘောဇဉ်,bɔzɪɴ
ဘောလယ်သီချင်း,bɔlɛθit͡ɕʰɪɴ
ဘောလုံး,bɔloʊɴ
ဘော်,baʊʔ
ဘော်ကြယ်,baʊʔt͡ɕɛ
ဘော်ငွေ,baʊʔŋəwe
ဘော်ထုတ်,baʊʔtʰoʊʔ
ဘော်ဒါ,baʊʔdəါ
ဘော်ဒါဆောင်,baʊʔdəါsʰaʊɴ
ဘော်ဒါနေသည်,baʊʔdəါneθi
ဘော်နင်းကြွပ်,baʊʔnɪɴt͡ɕʊʔ
ဘော်ပြ,baʊʔpəj
ဘော်ယူ,baʊʔju
ဘော်ရွေ,baʊʔjəwe
ဘော်လှော,baʊʔɬɔ
ဘော်လီ,baʊʔli
ဘော်လီဘော,baʊʔlibɔ
ဘော်လီဘောပုတ်သည်,baʊʔlibɔpoʊʔθi
ဘဲ,bɛ
ဘဲ့နက်,bɛnəkɛʔ
ဘဲ့နှယ်,bɛn̥ɛ
ဘဲ့ပြား,bɛpəja
ဘဲကျား,bɛt͡ɕa
ဘဲကျားရိုက်,bɛt͡ɕajokɛʔ
ဘဲကြီး,bɛt͡ɕi
ဘဲခြေနီ,bɛt͡ɕʰeni
ဘဲငန်း,bɛŋaɴ
ဘဲစားဘဲချေ,bɛsabɛt͡ɕʰe
ဘဲစာမြက်,bɛsaməjkɛʔ
ဘဲဇီ,bɛzi
ဘဲတောင်,bɛtaʊɴ
ဘဲနှုတ်သီး,bɛn̥oʊʔθi
ဘဲမြှီး,bɛməjှi
ဘဲမြီး,bɛməji
ဘဲရံ,bɛjaɴ
ဘဲလိပ်,bɛleɪʔ
ဘဲလေး,bɛle
ဘဲအ,bɛʔ
ဘဲဥပုံ,bɛʔupoʊɴ
ဘွင်း,bəwɪɴ
ဘွင်းဘွင်း,bəwɪɴbəwɪɴ
ဘွင်းဘွင်းပြော,bəwɪɴbəwɪɴpəjɔ
ဘွင်းဘွင်းရှင်းရှင်း,bəwɪɴbəwɪɴʃɪɴʃɪɴ
ဘွတ်,bʊʔ
ဘွတ်ဖိနပ်,bʊʔpʰinaʔ
ဘွာ,bəwa
ဘွား,bəwa
ဘွားခနဲ,bəwakʰənɛ
ဘွားစု,bəwasu
ဘွားဘွား,bəwabəwa
ဘွားဘွားပေါ်,bəwabəwapeါɛʔ
ဘွားဘွားပေါ်သည်,bəwabəwapeါɛʔθi
ဘွားဘွားဘိုးဘိုး,bəwabəwabobo
ဘွားအေ,bəwaʔe
ဘွာခတ်,bəwakʰaʔ
ဘွိုင်,bəwaɪɴ
ဘွိုင်လာ,bəwaɪɴla
ဘွေဆိုး,bəwesʰo
ဘွေပူ,bəwepu
ဘွေယူ,bəweju
ဘွေလှိမ့်,bəweɬeɪɴ
ဘွေလှုပ်,bəweɬoʊʔ
ဘွဲ့,bəwɛ
ဘွဲ့ကြိုသင်တန်း,bəwɛt͡ɕoθɪɴtaɴ
ဘွဲ့ချဉ်ပင်,bəwɛt͡ɕʰɪɴpɪɴ
ဘွဲ့ချည်,bəwɛt͡ɕʰi
ဘွဲ့တံဆိပ်,bəwɛtaɴsʰeɪʔ
ဘွဲ့ထူး,bəwɛtʰu
ဘွဲ့နှင်းသဘင်,bəwɛn̥ɪɴθəbɪɴ
ဘွဲ့ပုံ,bəwɛpoʊɴ
ဘွဲ့ဖြူပုဆိုး,bəwɛpʰəjupusʰo
ဘွဲ့ရ,bəwɛj
ဘွဲ့လွန်သင်တန်း,bəwɛlʊɴθɪɴtaɴ
ဘွဲ့သီချင်း,bəwɛθit͡ɕʰɪɴ
မ,m
မံ,maɴ
မံဘုရား,maɴbuja
မံသ,maɴθ
မံသည်,maɴθi
မက,mək
မကင်းရာမကင်းကြောင်း,məkɪɴjaməkɪɴt͡ɕaʊɴ
မကန်း,məkaɴ
မကန်ကွက်,məkaɴkəwkɛʔ
မကျက်တကျက်ဖြစ်,mət͡ɕəkɛʔtət͡ɕəkɛʔpʰəjɪʔ
မကျိုးမကျည်,mət͡ɕomət͡ɕi
မကျွတ်,mət͡ɕʊʔ
မကြားဝံ့မနာသာ,mət͡ɕawaɴmənaθa
မကြာခဏ,mət͡ɕakʰən
မကြာမတင်,mət͡ɕamətɪɴ
မကြာမမြင့်,mət͡ɕaməməjɪɴ
မကာ,məka
မကာရ,məkaj
မကို,məko
မကိုဋ်,məkotɛʔ
မကိုဋ်ဆောင်း,məkotɛʔsʰaʊɴ
မကိုဋ်သရဖူ,məkotɛʔθəjəpʰu
မကုန်မချင်း,məkoʊɴmət͡ɕʰɪɴ
မကောင်းကျိုး,məkaʊɴt͡ɕo
မကောင်းဆိုးဝါး,məkaʊɴsʰowəါး
မကောင်းတတ်၍,məkaʊɴtaʔ၍
မကောင်းတရောင်း,məkaʊɴtəjaʊɴ
မကောင်းမှု,məkaʊɴm̥u
မကောမက,məkɔmək
မက္ခရု,məkə္kʰəju
မက်,məkɛʔ
မက်ကတ်ပင်,məkɛʔkaʔpɪɴ
မက်ကလောင်နာ,məkɛʔkəlaʊɴna
မက်ကလောင်ဖျား,məkɛʔkəlaʊɴpʰəja
မက်ကွန်,məkɛʔkʊɴ
မက်ခရုရောဂါ,məkɛʔkʰəjujɔɡəါ
မက်တီး,məkɛʔti
မက်ထရစ်,məkɛʔtʰəjɪʔ
မက်မန်းသီး,məkɛʔmaɴθi
မက်မော,məkɛʔmɔ
မက်မောသည်,məkɛʔmɔθi
မက်မွန်သီး,məkɛʔmʊɴθi
မက်လင်ချဉ်,məkɛʔlɪɴt͡ɕʰɪɴ
မက်လင်ချဉ်ပင်,məkɛʔlɪɴt͡ɕʰɪɴpɪɴ
မက်လုံး,məkɛʔloʊɴ
မက်သည်,məkɛʔθi
မကွေးတိုင်း,məkəwetaɪɴ
မခံချင်စိတ်,məkʰaɴt͡ɕʰɪɴseɪʔ
မခံချိမခံသာ,məkʰaɴt͡ɕʰiməkʰaɴθa
မခံမရပ်နိုင်ဖြစ်သည်,məkʰaɴməjaʔnaɪɴpʰəjɪʔθi
မခန့်တရန့်,məkʰaɴtəjaɴ
မခန့်လေးစား,məkʰaɴlesa
မချက်မှား,mət͡ɕʰəkɛʔm̥a
မချင့်မရဲ,mət͡ɕʰɪɴməjɛ
မချစ်ဥ,mət͡ɕʰɪʔʔu
မချည်း,mət͡ɕʰi
မချိတင်ကဲ,mət͡ɕʰitɪɴkɛ
မချိတရိ,mət͡ɕʰitəji
မချိမဆံ့,mət͡ɕʰiməsʰaɴ
မချိမဆန့်,mət͡ɕʰiməsʰaɴ
မချိသည်,mət͡ɕʰiθi
မချိသွားဖြဲ,mət͡ɕʰiθəwapʰəjɛ
မချိုမချဉ်,mət͡ɕʰomət͡ɕʰɪɴ
မချွတ်,mət͡ɕʰʊʔ
မချွတ်မယွင်း,mət͡ɕʰʊʔməjəwɪɴ
မချွတ်မလွဲ,mət͡ɕʰʊʔmələwɛ
မခို့တရို့,məkʰotəjo
မခိုးမခန့်,məkʰoməkʰaɴ
မခိုင်းတမည်,məkʰaɪɴtəmi
မဂဓ,məɡəd
မဂ္ဂင်ဘောင်,məɡə္ɡɪɴbaʊɴ
မဂ္ဂင်ရှစ်ပါး,məɡə္ɡɪɴʃɪʔpəါး
မဂ္ဂဇင်း,məɡə္ɡəzɪɴ
မဂ္ဂဌာန်,məɡə္ɡətʰaaɴ
မဂ်,məɡɛʔ
မဂ်၀,məɡɛʔ၀
မဂ်ဖိုလ်,məɡɛʔpʰolɛʔ
မဂ်ဖိုလ်နိဗ္ဗာန်,məɡɛʔpʰolɛʔnibə္baaɴ
မဂ်လေးတန်,məɡɛʔletaɴ
မင်,mɪɴ
မင်း,mɪɴ
မင်းကျင့်တရားဆယ်ပါး,mɪɴt͡ɕɪɴtəjasʰɛpəါး
မင်းကြီး,mɪɴt͡ɕi
မင်းကိုကာ,mɪɴkoka
မင်းကိုကာပင်,mɪɴkokapɪɴ
မင်းကိုချည်,mɪɴkot͡ɕʰi
မင်းကုတ်ပင်,mɪɴkoʊʔpɪɴ
မင်းကွတ်,mɪɴkʊʔ
မင်းကွတ်ပင်,mɪɴkʊʔpɪɴ
မင်းခမ်းမင်းနား,mɪɴkʰaɴmɪɴna
မင်းချင်း,mɪɴt͡ɕʰɪɴ
မင်းစံရွှေ,mɪɴsaɴjəwှe
မင်းစိုးရာဇာ,mɪɴsojaza
မင်းဆက်,mɪɴsʰəkɛʔ
မင်းညီနောင်,mɪɴɲinaʊɴ
မင်းညီမင်းသား,mɪɴɲimɪɴθa
မင်းတရား,mɪɴtəja
မင်းတိုင်းကျေလုပ်,mɪɴtaɪɴt͡ɕeloʊʔ
မင်းတုပ်,mɪɴtoʊʔ
မင်းထုပ်,mɪɴtʰoʊʔ
မင်းဒေါင်း,mɪɴdeါɪɴ
မင်းပျိုမင်းလွင်,mɪɴpəjomɪɴləwɪɴ
မင်းပြစ်စိုးဒဏ်,mɪɴpəjɪʔsodənɛʔ
မင်းပြစ်မင်းဒဏ်,mɪɴpəjɪʔmɪɴdənɛʔ
မင်းပြိုင်,mɪɴpəjaɪɴ
မင်းပြု,mɪɴpəju
မင်းပိုင်းစိုးပိုင်း,mɪɴpaɪɴsopaɪɴ
မင်းပေါ,mɪɴpeါ
မင်းပေါင်း,mɪɴpeါɪɴ
မင်းပေါပင်,mɪɴpeါpɪɴ
မင်းပွဲစိုးပွဲ,mɪɴpəwɛsopəwɛ
မင်းဘုန်းပေါက်,mɪɴboʊɴpeါkɛʔ
မင်းဘုရား,mɪɴbuja
မင်းမျိုးမင်းနွယ်,mɪɴməjomɪɴnəwɛ
မင်းမြှောက်တန်ဆာ,mɪɴməjှɔkɛʔtaɴsʰa
မင်းမြှောင်,mɪɴməjှaʊɴ
မင်းမြှောင်စိုးကပ်,mɪɴməjှaʊɴsokaʔ
မင်းမြောက်တန်ဆာ,mɪɴməjɔkɛʔtaɴsʰa
မင်းမှု,mɪɴm̥u
မင်းမှုထမ်း,mɪɴm̥utʰaɴ
မင်းမှုသည်,mɪɴm̥uθi
မင်းမာ,mɪɴma
မင်းမာယာ,mɪɴmaja
မင်းမိန့်,mɪɴmeɪɴ
မင်းမဲ့တိုင်းပြည်,mɪɴmɛtaɪɴpəji
